City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
323,bereket,39.2446,55.5154,40.87,55,1,11.25,TM,1733585934
324,ormara,25.2088,64.6357,75.42,24,3,18.28,PK,1733585935
325,san matias,-16.3667,-58.4,90.27,55,100,8.72,BO,1733585936
326,cockburn town,21.4612,-71.1419,77.13,83,91,17.92,TC,1733585937
327,smithers,54.7804,-127.1743,34.12,100,100,6.91,CA,1733585938
328,khandyga,62.6667,135.6,-12.41,98,100,3.18,RU,1733585939
329,pollock pines,38.7613,-120.5866,48.9,44,0,3.0,US,1733585941
330,sal rei,16.1833,-22.9167,82.6,54,93,16.11,CV,1733585942
331,chernyshevskiy,63.0128,112.4714,-5.06,95,20,8.79,RU,1733585944
332,chinde,26.8212,87.7095,61.74,76,75,3.51,NP,1733585946
333,nelson bay,-32.7167,152.15,76.08,98,68,5.99,AU,1733585947
334,faya-largeau,17.9257,19.1043,82.29,17,82,21.85,TD,1733585948
335,kalabo,-14.97,22.6814,85.69,36,71,7.72,ZM,1733585949
336,hue,16.4667,107.6,75.31,83,40,4.61,VN,1733585950
337,acarau,-2.8856,-40.12,85.62,61,81,17.2,BR,1733585904
338,granada,37.25,-3.25,57.29,40,20,7.54,ES,1733585953
339,aripuana,-9.1667,-60.6333,76.57,96,97,5.12,BR,1733585954
340,sawakin,19.1059,37.3321,80.62,73,26,9.06,SD,1733585955
341,bwizibwera,-0.5917,30.6286,68.34,57,74,3.31,UG,1733585956
342,wenling,28.3669,121.36,49.12,78,100,10.18,CN,1733585957
343,vorkuta,67.5,64.0,7.5,96,98,9.78,RU,1733585958
344,cidade velha,14.9167,-23.6167,81.07,57,100,17.27,CV,1733585959
345,vuokatti,64.146,28.2697,27.84,83,100,7.29,FI,1733585961
346,kattivakkam,13.2167,80.3167,82.15,89,97,7.14,IN,1733585962
347,dolores,-36.3132,-57.6792,67.51,27,29,13.78,AR,1733585963
348,murashi,59.3999,48.9615,13.01,90,55,6.8,RU,1733585964
349,charlottetown,46.2352,-63.1267,21.56,70,40,17.27,CA,1733585960
350,alice springs,-23.7,133.8833,76.55,88,19,4.61,AU,1733585966
351,coron,11.9986,120.2043,78.62,86,100,2.28,PH,1733585967
352,akarp,58.2333,13.65,35.11,91,100,9.66,SE,1733585968
353,clarksdale,34.2001,-90.5709,40.98,33,31,6.91,US,1733585970
354,shimanovsk,52.0,127.7,1.18,94,13,6.02,RU,1733585971
355,dexter,36.7959,-89.9579,35.33,39,0,10.11,US,1733585972
356,filadelfia,39.9523,-75.1638,37.98,50,75,12.66,US,1733585820
357,colonia,50.9333,6.95,50.97,73,20,12.66,DE,1733585974
358,bayanhongor,46.7167,100.1167,-7.02,88,13,3.11,MN,1733585975
359,tutoia,-2.7619,-42.2744,85.08,67,100,13.82,BR,1733585976
360,tarawa,1.419,172.984,82.49,83,20,12.66,KI,1733585977
361,joacaba,-27.1781,-51.5047,66.72,99,100,2.19,BR,1733585978
362,sampit,-2.5333,112.95,75.7,94,99,1.01,ID,1733585980
363,egilsstadir,65.2653,-14.3948,30.11,74,75,8.05,IS,1733585981
